STATE,MSA ABBREVIATED NAME,% LGBT,# LGBT (Total),RANGE
Arizona,"Phoenix-Mesa-Scottsdale, AZ",4.30%,"146,000","135,000, 158,000"
Arizona,"Tucson, AZ",4.70%,"37,000","33,000, 43,000"
California,"Los Angeles, CA",5.10%,"523,000","499,000, 548,000"
California,"Riverside-San Bernardino-Ontario, CA",4.00%,"133,000","122,000, 145,000"
California,"Sacramento, CA",4.40%,"77,000","69,000, 85,000"
California,"San Diego, CA",4.50%,"115,000","105,000, 126,000"
California,"San Francisco/Bay Area, CA",6.70%,"247,000","232,000, 262,000"
California,"San Jose-Sunnyvale-Santa Clara, CA",3.80%,"58,000","51,000, 67,000"
Colorado,"Denver, CO",4.80%,"103,000","95,000, 112,000"
Connecticut,"Hartford-West Hartford-East Hartford, CT",4.60%,"44,000","38,000, 51,000"
District of Columbia,"Washington, DC (DC-MD-VA)",4.50%,"209,000","197,000, 222,000"
Florida,"Miami, FL",4.50%,"214,000","199,000, 230,000"
Florida,"Jacksonville, FL",4.20%,"47,000","41,000, 54,000"
Florida,"Orlando, FL",5.00%,"93,000","84,000, 103,000"
Florida,"Tampa-St. Petersburg-Clearwater, FL",4.80%,"113,000","104,000, 123,000"
Georgia,"Atlanta, GA",4.60%,"194,000","182,000, 207,000"
Illinois,"Chicago, IL (IL-IN-WI)",4.10%,"298,000","280,000, 316,000"
Indiana,"Indianapolis, IN",4.60%,"68,000","61,000, 76,000"
Kentucky,"Louisville, KY (KY-IN)",4.20%,"42,000","36,000, 48,000"
Louisiana,"New Orleans, LA",4.70%,"46,000","40,000, 53,000"
Maryland,"Baltimore, MD",4.10%,"89,000","81,000, 98,000"
Massachusetts,"Worcester, MA (MA-CT)",4.50%,"33,000","28,000, 39,000"
Massachusetts,"Boston, MA (MA-NH)",4.90%,"186,000","174,000, 198,000"
Michigan,"Detroit, MI",3.90%,"131,000","119,000, 143,000"
Minnesota,"Minneapolis-St. Paul, MN (MN-WI)",4.20%,"112,000","103,000, 121,000"
Missouri,"St. Louis, MO (MO-IL)",3.70%,"79,000","71,000, 88,000"
Missouri,"Kansas City, MO (MO-KS)",3.80%,"60,000","53,000, 67,000"
Nebraska,"Omaha-Council Bluffs, NE (NE-IA)",3.40%,"23,000","20,000, 27,000"
Nevada,"Las Vegas, NV",5.10%,"82,000","73,000, 92,000"
New Mexico,"Albuquerque, NM",4.40%,"31,000","27,000, 36,000"
New York,"Albany, NY",4.00%,"28,000","24,000, 33,000"
New York,"Buffalo, NY",4.10%,"37,000","32,000, 42,000"
New York,"Rochester, NY",4.30%,"37,000","32,000, 43,000"
New York,"New York, NY (NY-NJ-PA)",4.50%,"706,000","681,000, 733,000"
North Carolina,"Raleigh, NC",3.30%,"32,000","27,000, 37,000"
North Carolina,"Charlotte, NC (NC-SC)",4.00%,"74,000","66,000, 83,000"
Ohio,"Cleveland, OH",3.80%,"62,000","54,000, 70,000"
Ohio,"Columbus, OH",4.40%,"67,000","60,000, 76,000"
Ohio,"Cincinnati, OH (OH-KY-IN)",3.60%,"60,000","53,000, 67,000"
Oklahoma,"Oklahoma City, OK",3.80%,"39,000","34,000, 45,000"
Oklahoma,"Tulsa, OK",4.10%,"30,000","26,000, 35,000"
Oregon,"Portland, OR (OR-WA)",6.00%,"112,000","104,000, 121,000"
Pennsylvania,"Pittsburgh, PA",3.30%,"63,000","57,000, 70,000"
Pennsylvania,"Philadelphia, PA (PA-NJ-DE-MD)",4.20%,"198,000","185,000, 212,000"
Rhode Island,"Providence, RI (RI-MA)",4.50%,"58,000","51,000, 65,000"
Tennessee,"Nashville, TN",3.70%,"52,000","46,000, 59,000"
Texas,"Austin-Round Rock, TX",5.90%,"90,000","82,000, 99,000"
Texas,"Dallas-Fort Worth-Arlington, TX",4.00%,"211,000","197,000, 226,000"
Texas,"Houston, TX",3.50%,"169,000","156,000, 183,000"
Texas,"San Antonio, TX",4.40%,"78,000","70,000, 88,000"
Utah,"Salt Lake City, UT",4.70%,"39,000","35,000, 45,000"
Virginia,"Richmond, VA",4.10%,"40,000","35,000, 47,000"
Virginia,"Virginia Beach-Norfolk-Newport News, VA",4.10%,"55,000","48,000, 62,000"
Washington,"Seattle-Tacoma-Bellevue, WA",5.20%,"152,000","141,000, 163,000"
Wisconsin,"Milwaukee-Waukesha-West Allis, WI",3.50%,"42,000","37,000, 48,000"